,index,bare,built,crops,flooded_vegetation,grass,shrub_and_scrub,snow_and_ice,trees,water,id
1,10,0.041489443043246865,0.040090383030474186,0.03942711488343775,0.03445029631257057,0.04541992419399321,0.047106802463531494,0.036759121576324105,0.7521464882884175,0.03887159773148596,3
2,11,0.03667725273407996,0.03797431499697268,0.0357365517411381,0.032821700209751725,0.037211031652987,0.03706988040357828,0.03647880838252604,0.7530995944980532,0.03698766604065895,3
0,0,0.0382304647937417,0.03399864211678505,0.03432579431682825,0.035961899906396866,0.037689397344365716,0.04101836332120001,0.03636232786811888,0.7534439200535417,0.03982806601561606,4
10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2,2,0.039596967631950974,0.03833197080530226,0.03590983361937106,0.03353320085443556,0.04396833572536707,0.04247740120626986,0.03760058060288429,0.7580070206895471,0.03754734084941447,4
3,3,0.03699353546835482,0.03293790761381388,0.03240835014730692,0.034836545586586,0.03566735633648932,0.03761241678148508,0.03624603361822665,0.7524111794773489,0.039566610008478165,4
4,4,0.03694072738289833,0.03643801901489496,0.035202041268348694,0.034066200256347656,0.03966987342573702,0.041576514253392816,0.036876235390082,0.7646106267347932,0.039986573392525315,4
5,5,0.03894985560327768,0.0346204349771142,0.033931151032447815,0.0345239716116339,0.037352451123297215,0.039221355924382806,0.03597926371730864,0.7571835836861283,0.0409504035487771,4
6,6,0.29198838607408106,0.16562227183021605,0.11100601986981928,0.0582195280585438,0.11830047727562487,0.1475166624877602,0.25784254167228937,0.7742474684491754,0.11925758421421051,4
7,7,0.03876937925815582,0.0342071617487818,0.07158988737501204,0.03389743063598871,0.0385054387152195,0.04160140850581229,0.035333857173100114,0.7593094951007515,0.03906437405385077,4
8,8,0.06446063541807234,0.05799883254803717,0.05587983503937721,0.050820195116102695,0.09829625696875155,0.07795561198145151,0.14631185308098793,0.7599744535982609,0.037748666713014245,4
9,9,0.06685336702503264,0.36011719703674316,0.6513339190278202,0.09878482762724161,0.2562643438577652,0.17595014069229364,0.09526777639985085,0.7899004304781556,0.07023276388645172,4
1,10,0.040820818627253175,0.04151431121863425,0.041043089935556054,0.033807591535151005,0.044829998165369034,0.049087777733802795,0.036263465881347656,0.75201416015625,0.038499450543895364,4
11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
